,link,parsed_lists
4,https://fi.linkedin.com/jobs/view/data-centre-engineer-on-demand-model-at-derisk-technologies-3630044610?refId=gnL8U6r5Ztf3Lq4wyee3Cg%3D%3D&trackingId=ihwAb2Ifvb5YEHwmoAHKeA%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card," Servers (Virtual & Physical)
 Storage & Backup Devices
 Server Appliances
 Hyper Converged Infrastructure (E.g. Nutanix, Cisco UCS)
 Tape Storage Units
 Power Distribution Units rated 3KVA and below
 SAN Fabric Switches
 Network Switches
 KVM Units
 WAN Optimization Devices
 Firewalls
 Access Points
 Routers
 Physical Cabling
 Cable Management
 Cables which connect the device to itself, a peripheral, or a power/network port Break-fix / Technical Tasks List
 Power Cycling
 Running Diagnostics Commands
 Conducting whole unit replacement
 Inserting/Removing Media
 Replacing Defective Components
 Assist with fault diagnosis and investigation
 Configuring Remote Access
 Basic Storage Array Configuration
 Replacing faulty cables
 Tape Management and Maintenance
 Rebooting routers, servers, storage devices or other equipment
 Providing loop-back cables in order to test circuits remotely
 Re-seating or replacing components or cables
 Cleaning fibers
 Identify/Analyze fiber issues by using OTDR/LSPM/VFL
 Installing loop backs
 Racking, de-racking, and upgrade of any device installed Operations Tasks List
 Updating and Recording of activities in relevant IT Ticket Management System
 Coordinating and agreeing attendance time and date with key stakeholders
 Provide support either through phone, remote tools, or in person at onsite
 Perform installation as needed either through physical or network medium
 Coordinate the actual activity date and timing, including arrival and departure times
 Carry all necessary tools, laptops etc. which might be needed to support issues in the infrastructure environment
 Labeling, Patching and Asset Tagging activities
 Following specific task instructions and providing necessary reporting as necessary"
4,https://fi.linkedin.com/jobs/view/data-centre-engineer-on-demand-model-at-derisk-technologies-3630044610?refId=gnL8U6r5Ztf3Lq4wyee3Cg%3D%3D&trackingId=ihwAb2Ifvb5YEHwmoAHKeA%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card," Good general understanding of IT principles such as Networks, Hardware and Domains
 Knowledge of Infrastructure (Data Center and Network) hardware architecture as to understand the procedure shared by L3 teams during troubleshooting,H&E support
 Knowledge of server/client operations in a domain environment including Active Directory
 Understanding of current and legacy hardware Infrastructure platforms
 Hands-on experience in installation and troubleshooting Infrastructure (DC & Network) equipment's, Rack and Stack of the equipment/cable
 Good Hands-on Experience in IMAC and Break-fix activities related to Infrastructure environment
 Ability to identify Excellent the right defective spares and replace them with provided good spares as instructed and by physical observations
 Knowledge of TCP/I P standards and networking
 Experience with Tape Management activities
 Excellent knowledge of best practices around management, control, and monitoring of server infrastructure
 Familiarity with backup and recovery software and methodologies Language skills needed
 English Soft Skills
 Exceptional customer facing skills
 Able to communicate clearly and effectively both with Client and the Customer
 Logical and analytical approach to work
 Accurate record keeping
 Able to work unsupervised
 Good timekeeper
 Intense focus on quality work
 Productive and Efficient Academic Background
 Bachelor of Engineering / Technology / Science or Equivalent Work Experience"
4,https://fi.linkedin.com/jobs/view/data-centre-engineer-on-demand-model-at-derisk-technologies-3630044610?refId=gnL8U6r5Ztf3Lq4wyee3Cg%3D%3D&trackingId=ihwAb2Ifvb5YEHwmoAHKeA%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card, 5 – 7 years (min
5,https://fi.linkedin.com/jobs/view/data-engineer-at-luxid-3664538020?refId=gnL8U6r5Ztf3Lq4wyee3Cg%3D%3D&trackingId=haTgVYTt5EJAU0nUmwqMLg%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,"1-3 years Python with Rest API design experience (Flask and Django)
Commitment to good code maintenance practices using Git (Bitubucket)
Databases:
SQL - preferably PostgresSQL
MongoDB
Google BigQuery
Amazon Snowflake (optional)
Experience with Google Cloud Platform, Docker and server-less deployment
Fluent Finnish and English
Excellent communication and interaction skills
Additional nice-to-have qualifications
:
Knowledge of other coding languages
Any experience with marketing automation systems
Familiarity with Scrum
What we offer:
Great team of highly skilled, supportive and experienced professionals
International, English-speaking, diverse and inclusive equal opportunity workplace
Possibility to grow as a professional with a wide range of learning opportunities
Extensive occupational healthcare plan
Culture, sport, and wellness benefits
Flexible remote working opportunities all around the world but also offices in Helsinki, Turku, London, and Austin
Interested? Apply now and join our team of Luxidians!
Due to summer vacations, we will go through all applications sent in July during August and want to thank you for your patience already now!"
5,https://fi.linkedin.com/jobs/view/data-engineer-at-luxid-3664538020?refId=gnL8U6r5Ztf3Lq4wyee3Cg%3D%3D&trackingId=haTgVYTt5EJAU0nUmwqMLg%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,"SQL - preferably PostgresSQL
MongoDB
Google BigQuery
Amazon Snowflake (optional)
Experience with Google Cloud Platform, Docker and server-less deployment
Fluent Finnish and English
Excellent communication and interaction skills"
5,https://fi.linkedin.com/jobs/view/data-engineer-at-luxid-3664538020?refId=gnL8U6r5Ztf3Lq4wyee3Cg%3D%3D&trackingId=haTgVYTt5EJAU0nUmwqMLg%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,"Knowledge of other coding languages
Any experience with marketing automation systems
Familiarity with Scrum"
5,https://fi.linkedin.com/jobs/view/data-engineer-at-luxid-3664538020?refId=gnL8U6r5Ztf3Lq4wyee3Cg%3D%3D&trackingId=haTgVYTt5EJAU0nUmwqMLg%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,"Great team of highly skilled, supportive and experienced professionals
International, English-speaking, diverse and inclusive equal opportunity workplace
Possibility to grow as a professional with a wide range of learning opportunities
Extensive occupational healthcare plan
Culture, sport, and wellness benefits
Flexible remote working opportunities all around the world but also offices in Helsinki, Turku, London, and Austin"
6,https://fi.linkedin.com/jobs/view/data-engineer-at-recordly-3723342632?refId=gnL8U6r5Ztf3Lq4wyee3Cg%3D%3D&trackingId=So4U8%2FthU6ec%2BY8BoVo1nQ%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,"Technology experience that includes building data pipelines, hands-on.
Fluent with cloud infrastructure, especially the data side of the big three (Azure, AWS, Google Cloud Platform)
Understanding and/or experience with Data Lake infrastructure, Data Warehousing, and Data Analytics tools.
Fluent in SQL.
Development experience in programming languages like Python, Javascript, Java, Scala etc.).
Experience with data modeling, data warehousing, and building high-volume ETL/ELT pipelines.
Experience with version control systems like GitHub and deployment & CI tools.
 "
6,https://fi.linkedin.com/jobs/view/data-engineer-at-recordly-3723342632?refId=gnL8U6r5Ztf3Lq4wyee3Cg%3D%3D&trackingId=So4U8%2FthU6ec%2BY8BoVo1nQ%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,"Experience with at least one MPP database technology such as Snowflake.
Familiarity with business intelligence tools (such as PowerBI).
Working knowledge of agile development, including DevOps and DataOps concepts.
Understanding metadata management, data lineage, and data glossaries is a plus.
 "
6,https://fi.linkedin.com/jobs/view/data-engineer-at-recordly-3723342632?refId=gnL8U6r5Ztf3Lq4wyee3Cg%3D%3D&trackingId=So4U8%2FthU6ec%2BY8BoVo1nQ%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,"As a Recordly employee, you have the option to buy stocks of the company through the common employee share program
A yearly bonus based on company performance (equal to all full-time Recordlians)
Flexible remote working model
Extensive health care, including dental and mental health
Monthly massage
Insurance for travel and free-time
Phone benefit
Pick the laptop and phone of your choosing
Child care services when your child falls ill
Recurring training & learning sessions and other social events
Lunch benefit as a part of pimp my benefits plan
Sports & culture benefit as a part of pimp my benefits plan
Bike benefit as a part of pimp my benefits plan
Public transportation benefit as a part of pimp my benefits plan
IT & remote budget as a part of pimp my benefits plan
Home cleaning or additional child care services as a part of pimp my benefits plan"
7,https://fi.linkedin.com/jobs/view/data-engineer-at-the-upright-project-3642120745?refId=gnL8U6r5Ztf3Lq4wyee3Cg%3D%3D&trackingId=45OPF3NzO5rBRxOsJgKFsA%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,"Solid track record of internal passion for excellence: you have gotten things done clearly better than what was required/expected from you, as you enjoy doing things well
Sense of urgency and drive to get the job done with tight deadlines
Good handle on SQL and Python. Scala and other tools for data intensive programming are considered a plus
Experience in writing production-grade ETL pipelines, ideally on distributed systems
Experience in data pipeline orchestration systems such as Apache Airflow
Experience in cloud services such as AWS, GCP or Azure
Experience MLOps, and data and ML model versioning more broadly
Experience in DevOps, infrastructure as code and containers
Ability to work both autonomously and as part of a team
Ability to see the big picture and prioritize work accordingly
Ability to communicate clearly both verbally and in writing"
7,https://fi.linkedin.com/jobs/view/data-engineer-at-the-upright-project-3642120745?refId=gnL8U6r5Ztf3Lq4wyee3Cg%3D%3D&trackingId=45OPF3NzO5rBRxOsJgKFsA%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,"Understanding of optimization techniques like denormalization, caching and compression, and when to use them
Experience working with company disclosures and financial data
Track record in writing production quality software, e.g., in Scala or Typescript
Familiarity with Upright’s platform tech stack (Node, TypeScript, PostgreSQL and React)"
7,https://fi.linkedin.com/jobs/view/data-engineer-at-the-upright-project-3642120745?refId=gnL8U6r5Ztf3Lq4wyee3Cg%3D%3D&trackingId=45OPF3NzO5rBRxOsJgKFsA%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,"A chance to join a quickly growing and highly ambitious impact SaaS company with a mission that matters
A fun and kind team with exceptional people who care about what they do
Exciting professional growth opportunities
Competitive compensation, including stock options and a comprehensive healthcare package"
8,https://fi.linkedin.com/jobs/view/data-engineer-at-sok-3728672489?refId=gnL8U6r5Ztf3Lq4wyee3Cg%3D%3D&trackingId=3sxUnMcNjnzP%2F6RLVHvCwg%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,"Retail Integrations
Modern data integrations (Kafka and REST API), Kotlin, Java, Python, cloud platforms 
Retail Analytics
Python, AWS, SQL, ADE, dbt, data warehouse technologies (e.g., Snowflake) "
8,https://fi.linkedin.com/jobs/view/data-engineer-at-sok-3728672489?refId=gnL8U6r5Ztf3Lq4wyee3Cg%3D%3D&trackingId=3sxUnMcNjnzP%2F6RLVHvCwg%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,"Modern data integrations (Kafka and REST API), Kotlin, Java, Python, cloud platforms "
8,https://fi.linkedin.com/jobs/view/data-engineer-at-sok-3728672489?refId=gnL8U6r5Ztf3Lq4wyee3Cg%3D%3D&trackingId=3sxUnMcNjnzP%2F6RLVHvCwg%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,"Python, AWS, SQL, ADE, dbt, data warehouse technologies (e.g., Snowflake) "
8,https://fi.linkedin.com/jobs/view/data-engineer-at-sok-3728672489?refId=gnL8U6r5Ztf3Lq4wyee3Cg%3D%3D&trackingId=3sxUnMcNjnzP%2F6RLVHvCwg%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,"Hands-on experience with modern data warehouse technologies, such as Snowflake
Strong expertise in data modeling and data architecture
Proficiency in SQL for data manipulation and querying
Previous experience with cloud platforms like AWS
Familiarity with programming languages like Python
Experience with data modeling tools like ADE, dbt, or similar
A DevOps/DataOps mindset with a focus on automation and efficiency
Collaborative team-working attitude and strong communication skills"
8,https://fi.linkedin.com/jobs/view/data-engineer-at-sok-3728672489?refId=gnL8U6r5Ztf3Lq4wyee3Cg%3D%3D&trackingId=3sxUnMcNjnzP%2F6RLVHvCwg%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,"An opportunity to improve and influence the daily lives of millions of people 
Stability and continuity. Being founded in 1904 and doing huge investments to digitalization, we make sure that we can provide affordable, high-quality products and services for our co-op members, regular Finnish consumers, also another 100 years from this day
Influence and responsibility. Our engineers have a lot of freedom in their work, but they also live with their solutions, and so do millions of users too 
Ownership. You’re creating services directly for the end-users, whether they’re customers or S Group employees. You’re not visiting a project; you own the product together with your team
Workplace democracy. Our ways of working are not set in stone. Together we continuously improve the ways of developing products and services in the biggest private employer in Finland.
Reasonable workload. Our supportive digital community with its great ways of working, setting realistic expectations and the possibility of hybrid work, all adds up to less stress for you
An opportunity to gain know-how and technical competence in wide-ranging technology domains (like web, mobile and cloud) as well as business sectors (restaurants, hotels, online retail and service stations)
Concrete and rewarding end-results, which you can experience yourself by using S Group’s services, when doing your grocery shopping, fueling or staying in a hotel, for example
Occupational healthcare, sports and culture benefit, lunch benefit in our staff restaurant
Access to the hobby and sports facilities and free parking in Ässäkeskus"
9,https://fi.linkedin.com/jobs/view/it-developer-tech-lead-big-data-solutions-remote-urgent-at-belmont-lavan-3646109632?refId=gnL8U6r5Ztf3Lq4wyee3Cg%3D%3D&trackingId=U5Iwox2B2bJSsLg%2F5NFEnw%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,
10,https://fi.linkedin.com/jobs/view/data-engineer-helsinki-up-to-5000%E2%82%AC-pm-%2B-bonus-at-jefferson-frank-3671472986?refId=gnL8U6r5Ztf3Lq4wyee3Cg%3D%3D&trackingId=%2FzWstAELPdaoo8t18UW9QA%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card," You will be the only data engineer within the team to develop new report capabilities.
 The team that they are in has 2 MDM specialists and 2 Power BI specialists and you would be joining as the singular data engineer on the team. (There are other data engineers in other departments)
 They are looking to become more data-driven as they admit they aren't yet, and this is an exciting move to be part of as you will have the opportunity to make changes."
10,https://fi.linkedin.com/jobs/view/data-engineer-helsinki-up-to-5000%E2%82%AC-pm-%2B-bonus-at-jefferson-frank-3671472986?refId=gnL8U6r5Ztf3Lq4wyee3Cg%3D%3D&trackingId=%2FzWstAELPdaoo8t18UW9QA%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card," Experienced in the AWS Stack (S3 Glue, Lambda, Dynamo DB, Cloud Patch) is what they use
 SQL
 Python Experience
 DevOps Skills (Jira, Confluence, Jenkins)
 Fluency in Finnish
 Snowflake experience is a nice plus"
10,https://fi.linkedin.com/jobs/view/data-engineer-helsinki-up-to-5000%E2%82%AC-pm-%2B-bonus-at-jefferson-frank-3671472986?refId=gnL8U6r5Ztf3Lq4wyee3Cg%3D%3D&trackingId=%2FzWstAELPdaoo8t18UW9QA%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card," Sports and culture support (200€ per year)
 Free train usage (travel benefits)
 Good work health services
 Holiday places for a discounted rate in Finland and abroad
 Flexible working hours and remote work possibility
 New office place in Pasila Helsinki, but the possibility to work also in other locations
 Up to 8% bonus"
11,https://fi.linkedin.com/jobs/view/data-engineer-at-sievo-3719795029?refId=gnL8U6r5Ztf3Lq4wyee3Cg%3D%3D&trackingId=Ch7oDV7DMlH0CjS4liYb7w%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card,"Develop an understanding of our clients' procurement analytics needs
Design, build, monitor and maintain data integrations, migrations, and processes
Work with a combination of Microsoft SQL, SSIS, Azure (ADF and Databricks mainly) and Sievo’s own proprietary integration tools as well as database structures and data content of different ERPs
Work and communicate internally with other Sievonians but also represent Sievo’s integration field externally with our customers' IT and project members
Provide active support and improvement ideas to our existing integration processes and constantly look to improve our tools, internal processes and best practices
Ensure that everything you do is robust, sustainable and scalable
Have the courage to question things and to speak up: We believe development comes from challenging the status quo"
11,https://fi.linkedin.com/jobs/view/data-engineer-at-sievo-3719795029?refId=gnL8U6r5Ztf3Lq4wyee3Cg%3D%3D&trackingId=Ch7oDV7DMlH0CjS4liYb7w%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card,"Proven experience in data engineering
ETL expertise, preferably SSIS
Cloud knowledge, preferably Azure Data Factory / Databricks
Strong SQL skills
Data warehouse understanding
Fluency in English. Other language skills are appreciated
Good communication skills
Being independent and taking ownership
Ability to handle vast amounts of data
Interest in automating processes
Willingness to face clients"
11,https://fi.linkedin.com/jobs/view/data-engineer-at-sievo-3719795029?refId=gnL8U6r5Ztf3Lq4wyee3Cg%3D%3D&trackingId=Ch7oDV7DMlH0CjS4liYb7w%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card,"Knowledge of procurement and different ERPs (such as SAP, Oracle, Sage, D365,.. )
Data modelling
Scripting knowledge like PowerShell or Python
Experience in working with REST APIs
Consulting experience"
11,https://fi.linkedin.com/jobs/view/data-engineer-at-sievo-3719795029?refId=gnL8U6r5Ztf3Lq4wyee3Cg%3D%3D&trackingId=Ch7oDV7DMlH0CjS4liYb7w%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card,"A set of cool global clients to work with. Yes - the ones you read about in business & management books. The ones with the largest amounts of data
An opportunity to learn Azure implementations, automation, and migration
A unique opportunity to develop your understanding of procurement business area
We've got awesome perks including phone plan, home internet connection, referral bonus, bike benefit, and many more
One of the coolest offices in the heart of Helsinki – or if you prefer, a flexible hybrid working mode. We also provide all essential tools to work remotely
Freedom and responsibility. We are looking for people who yearn for this freedom, can make the most out of it and are willing to take on the responsibility
Possibility to work with an international group of great people with diverse backgrounds"
12,https://fi.linkedin.com/jobs/view/junior-mid-level-azure-data-engineer-at-nigel-frank-international-3732816652?refId=gnL8U6r5Ztf3Lq4wyee3Cg%3D%3D&trackingId=e0YwfrMycKr1ihJPdyyH9g%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card," Design, develop, and maintain data pipelines and ETL processes using Azure Data Factory, Azure Databricks, and other relevant tools.
 Collaborate with cross-functional teams to understand data requirements and ensure data is collected, processed, and stored efficiently.
 Optimize data solutions for performance, scalability, and reliability.
 Implement data security and compliance measures.
 Troubleshoot and resolve data-related issues."
13,https://fi.linkedin.com/jobs/view/data-analyst-at-sok-3733902135?refId=gnL8U6r5Ztf3Lq4wyee3Cg%3D%3D&trackingId=2o7qQxzrwgIIY7Aio2cr3A%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card,"Saat käyttöösi Suomen laajimmat henkilöstöedut
Tarjoamme hyvinvointi- ja vapaa-ajan edut, mm. ePassi 200 € vuodessa, maksuton kuntosali Ässäkeskuksella ja lakisääteistä kattavampi työterveyshuolto
Hyvästä ja tuloksellisesta tekemistä palkitaan, ja meillä jokainen työntekijä onkin tulospalkkauksen piirissä"
14,https://fi.linkedin.com/jobs/view/senior-data-engineer-at-iceye-3729474570?refId=gnL8U6r5Ztf3Lq4wyee3Cg%3D%3D&trackingId=ysNV9FRkeJE268OIMZisyQ%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card,"Development of highly scalable and resilient storage, services/data pipelines for both short term and long term telemetry analysis use cases. 
Build API to expose data to users. Understanding telemetry use cases from the users' perspective is important to build meaningful API for them. 
Development of a post-processing telemetry warehouse platform to allow meaningful data reduction and visualization.
Develop a meaningful satellite configuration management system for ease of fleet handling and automation.
Promote the use of meaningful data archiving techniques.
Improve the data quality and reliability of the pipeline through proper monitoring and failure handling.
Take active part in architecture-related discussions.
Drive process discovery and resolution of technical blockers; generate ideas, and identify / solve problems.
Produce simple, high quality clean code using frameworks, services, and reusable assets where possible."
14,https://fi.linkedin.com/jobs/view/senior-data-engineer-at-iceye-3729474570?refId=gnL8U6r5Ztf3Lq4wyee3Cg%3D%3D&trackingId=ysNV9FRkeJE268OIMZisyQ%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card,"Work/proven experience in data-oriented software engineering ( 3-5 years)
Excellent experience with data processing/analysis libraries (e.g. numpy, pandas, etc) and programming skill (Python)
Understanding of Time Series Data Analysis and Visualization Techniques
Interest towards understanding satellite subsystems and generated telemetry
Good communication skill to participate in cross departmental projects
Comfortable finding his/her own way and living well in the continuous stream of change that is inevitable in a start-up that is beginning to scale
Expertise in non-relational and relational databases, understanding how different data structures can affect the performance"
14,https://fi.linkedin.com/jobs/view/senior-data-engineer-at-iceye-3729474570?refId=gnL8U6r5Ztf3Lq4wyee3Cg%3D%3D&trackingId=ysNV9FRkeJE268OIMZisyQ%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card,"Experience in distributed clusters and container orchestration (Kubernetes, Docker)
Experience in API development (RESTful API)
Basic knowledge of infrastructure as a code (Terraform, Ansible) for resource and service provisioning
Experience in cloud based development (AWS)
Dedication to code quality, automation and operational excellence: CI/CD pipelines(Github actions), unit/integration tests
General understanding of good software development practices"
14,https://fi.linkedin.com/jobs/view/senior-data-engineer-at-iceye-3729474570?refId=gnL8U6r5Ztf3Lq4wyee3Cg%3D%3D&trackingId=ysNV9FRkeJE268OIMZisyQ%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card,"Knowledge of Machine Learning concepts
Familiarity with GraphQL
Experience of working with Time Series DB (InfluxDB is an extra plus!)
Experience with building Data Warehouse
Experience with Apache Spark, Dask, or any similar data processing framework
Experience with handling Satellite Data (of any kind)"
